Ref_Date,GEO,STAT,TENURE,SUMMARY,Vector,Coordinate,Value
2010,Canada,Average expenditure per household,All classes,Hotels and motels,v64476238,1.1.1.81,322
2011,Canada,Average expenditure per household,All classes,Hotels and motels,v64476238,1.1.1.81,326
2012,Canada,Average expenditure per household,All classes,Hotels and motels,v64476238,1.1.1.81,351
2013,Canada,Average expenditure per household,All classes,Hotels and motels,v64476238,1.1.1.81,375
2014,Canada,Average expenditure per household,All classes,Hotels and motels,v64476238,1.1.1.81,387
2010,Canada,Average expenditure per household,All classes,Other accommodation away from home,v64476239,1.1.1.82,110
2011,Canada,Average expenditure per household,All classes,Other accommodation away from home,v64476239,1.1.1.82,114
2012,Canada,Average expenditure per household,All classes,Other accommodation away from home,v64476239,1.1.1.82,209
2013,Canada,Average expenditure per household,All classes,Other accommodation away from home,v64476239,1.1.1.82,216
2014,Canada,Average expenditure per household,All classes,Other accommodation away from home,v64476239,1.1.1.82,271
2010,Canada,Average expenditure per household,All classes,Household operations,v54530465,1.1.1.12,3887
2011,Canada,Average expenditure per household,All classes,Household operations,v54530465,1.1.1.12,4165
2012,Canada,Average expenditure per household,All classes,Household operations,v54530465,1.1.1.12,4122
2013,Canada,Average expenditure per household,All classes,Household operations,v54530465,1.1.1.12,4344
2014,Canada,Average expenditure per household,All classes,Household operations,v54530465,1.1.1.12,4393
2010,Canada,Average expenditure per household,All classes,Communications,v54530466,1.1.1.13,1742
